	padj	log2FoldChange
ENST00000419255.6_SEMA3C-203	2.16511652840613e-06	-1.59966078340145
ENST00000361034.7_GRAMD4-201	0.000878741370280865	-1.93017026705125
ENST00000674500.2_CELSR1-213	0.00120015736636008	-3.41448905466467
ENST00000264156.3_MCM6-201	0.000111124750937491	-2.48141115857569
ENST00000673899.1_MLH1-231	0.000388111933078752	-3.6918198968738
ENST00000444005.1_DNAJC10-203	3.18400798050056e-05	-1.85421710287317
ENST00000597896.5_SIRT6-208	0.000309063238470325	-3.65996485731836
ENST00000691169.1_KIF22-229	0.000141000189749016	-3.52280263384177
ENST00000590237.1_KEAP1-205	0.000466516050779848	-2.94702406150409
ENST00000370336.5_DDX43-201	0.000296203629504663	-2.18898756231653
ENST00000264485.11_SLC4A4-201	0.00224712034455784	-2.21289879687592
ENST00000522874.5_MOK-226	8.47324238614369e-07	-4.53452731898985
ENST00000321016.12_IGSF9B-201	0.000205583632833066	-3.45325977194888
ENST00000320393.9_BCKDHB-201	7.82461551117055e-06	-3.04828861657224
ENST00000356489.9_BCKDHB-202	9.70488570571481e-05	-1.86307310334898
ENST00000678225.2_USP40-217	9.1036455814906e-05	-3.29619038616052
ENST00000379540.8_NFX1-203	3.97723655722207e-06	-1.76379797419284
ENST00000437505.5_TRIP6-204	0.00346818564769386	-2.39153614223271
ENST00000553031.1_DNM1L-228	0.000878797696612044	-3.18357679948218
ENST00000703367.1_DNM1L-239	0.00417746733177263	-2.67031408102124
ENST00000380420.10_PIR-201	1.35555779408934e-08	-1.6648342619788
ENST00000486175.5_C3orf18-210	0.00291040995210558	-2.51451706148131
ENST00000619189.5_KIZ-210	0.00131824523583863	-2.22965468679961
ENST00000490175.5_SNX5-214	0.000918429513308729	-3.04340506116302
ENST00000566605.5_FUS-209	0.000782144979903705	-3.02515852188884
ENST00000618486.4_LTBP4-236	0.00183865478152618	-2.64854786642487
ENST00000393008.7_MRPS33-202	0.000635300526426658	-1.81633518372841
ENST00000437604.6_DLD-204	8.9654159032894e-09	-1.62531480130278
ENST00000206423.8_CCDC80-201	3.24157946034613e-06	-1.63675442510882
ENST00000541587.6_HAUS4-205	0.000399805798047192	-2.54704700313795
ENST00000324103.11_RNF31-201	6.27880790859188e-06	-2.25283131742662
ENST00000555883.5_HNRNPC-220	3.60894952355902e-05	-2.61317523665774
ENST00000558703.1_TINF2-209	0.00490255564607634	-2.48615356417355
ENST00000550697.6_MYL6-218	2.51390173186585e-08	-2.88546820678388
ENST00000263201.7_CDC45-201	4.97327630812364e-07	-4.48886890441814
ENST00000454591.6_ECHDC1-209	6.08232923032908e-05	-3.4091667110229
