	padj	log2FoldChange
ENST00000341049.7_CAV1-201	0.000457733530119718	-2.15741292466126
ENST00000456159.1_MET-206	0.00104309652889096	-3.34617738722547
ENST00000576910.7_GOSR2-210	0.00303518736020997	-3.17042711805144
ENST00000585163.5_CDK5RAP3-237	0.00363534759911526	-2.66469521066764
ENST00000578491.2_DDX5-208	2.30656723582589e-06	-1.80855717236998
ENST00000580485.1_C17orf75-205	1.85721785128366e-05	-4.14022322421319
ENST00000585265.1_PSMD11-211	0.00435364834327331	-2.89732837316683
ENST00000262435.14_SMURF2-201	7.80384067439278e-08	-1.69698202261897
ENST00000578386.5_SMURF2-203	1.14163532513639e-08	-1.71004872057176
ENST00000467843.6_WSB1-204	0.00150384580842248	-2.13384038383177
ENST00000298892.9_CAPRIN2-201	0.0015291430724153	-3.20573378730362
ENST00000538753.5_COPS7A-209	0.00268907217844406	-3.17156733205231
ENST00000265138.4_ARRDC3-201	0.00183300467053618	-2.03181528958844
ENST00000231526.8_TRAPPC13-201	0.000253305471818101	-3.71147796768506
ENST00000486111.5_TFDP2-212	0.00379713508334349	-3.20534348542707
ENST00000264634.9_WNT5A-201	0.000322327398254166	-3.37746914563077
ENST00000424122.5_TTC31-204	5.67547036031987e-06	-4.23288481467338
ENST00000491592.1_RTN4-214	0.00370393240874499	-1.69710209408263
ENST00000468598.5_SFPQ-205	3.82964098195164e-05	-1.79973253668971
ENST00000485365.1_SFPQ-208	0.00166203180502617	-1.77133202272806
ENST00000313695.11_ARHGEF2-202	0.00060515977750222	-2.74287444635575
ENST00000420607.6_ACADM-203	0.00433760893003868	-1.6034152973471
ENST00000370473.5_GBP1-201	0.00014321747443574	-1.71388923499287
ENST00000554861.1_LTBP2-203	0.00150935307381802	-3.14717061786109
ENST00000379826.5_SMAD9-202	0.000644310188674342	-2.45095260157194
ENST00000681581.1_ALG5-224	0.000458297373822724	-2.98147327457158
ENST00000376468.4_NPPB-201	1.35098463049228e-07	-2.24663282715735
ENST00000369976.6_CLCC1-207	0.00239919982094332	-1.79128357424295
ENST00000433667.5_ZMIZ2-205	2.25517846152876e-06	-4.87454188707337
ENST00000361901.6_CALD1-202	4.8850997317587e-08	-1.67450705468362
ENST00000307116.6_P4HA1-202	9.55697082118674e-06	-1.82265807004089
ENST00000373008.7_P4HA1-203	1.85258464533511e-07	-2.17316736271069
ENST00000644693.1_SERPINB6-214	0.00390923968651354	-2.11513143689647
ENST00000645375.1_MEA1-205	6.20876034235326e-07	-5.06954082202527
ENST00000376112.4_ID1-202	5.2202543546837e-10	-2.24841415976189
ENST00000248071.6_KLF2-201	3.86493220856168e-10	-2.46581896732628
ENST00000592003.1_KLF2-202	1.61048683250375e-05	-2.1787647691669
ENST00000680513.1_AKAP9-226	0.000251162505656042	-3.32318408859943
ENST00000704822.1_PALLD-219	0.00191275941400027	-2.83037657424041
ENST00000539930.1_PARP2-210	0.00274960756933414	-2.88284251475719
ENST00000379253.7_SAT1-202	0.000252137906910289	-2.16720559712034
ENST00000474223.1_SAT1-206	0.00222072474464671	-1.97148995121813
ENST00000585898.1_ECSIT-205	0.0006608056608439	-3.56699967781591
ENST00000423485.6_TOP2A-201	0.000247146708365923	-1.82724833797122
ENST00000254901.9_REEP2-201	0.000293420813738878	-3.36671768172639
ENST00000497826.5_DAP3-224	4.33945529925123e-06	-1.97755382551665
ENST00000626796.2_CDK7-214	0.00217070874608934	-2.69050606102806
ENST00000369684.5_WNT2B-202	0.00127435414910186	-2.16954259618948
