	padj	log2FoldChange
ENST00000645375.1_MEA1-205	9.45815830099374e-07	-5.16504927981828
ENST00000376105.4_ID1-201	0.000188644224501622	-1.76049029015185
ENST00000376112.4_ID1-202	1.05476295217028e-08	-2.13392486218172
ENST00000248071.6_KLF2-201	1.0802832344486e-08	-2.33120655626446
ENST00000592003.1_KLF2-202	7.19918552740368e-05	-2.11181431306231
ENST00000398989.2_TUBA4A-203	0.000206296571607139	-1.8980056045375
ENST00000539930.1_PARP2-210	0.00347382735444085	-3.07024161237222
ENST00000254901.9_REEP2-201	0.00375206666422627	-2.78327666602665
ENST00000497826.5_DAP3-224	0.000548885174417863	-1.65112422071242
ENST00000626796.2_CDK7-214	0.00331992100445519	-2.80060161072347
ENST00000257100.7_SPOCD1-201	0.000209831348644549	-2.05057139117245
ENST00000331817.6_KRT7-201	2.21541197470699e-06	-1.89574462556679
ENST00000490882.5_FLNB-212	4.38266028716377e-09	-5.93611949306331
ENST00000497563.5_IGF2BP3-216	9.61704192120413e-05	-4.04783074154871
ENST00000431857.5_FPGS-206	0.00126945954747996	-3.85622323800722
ENST00000529581.5_SYTL2-219	0.000347194123146786	-3.99217171936619
ENST00000560905.1_RMDN3-211	0.0021688192859916	-3.35925373653484
ENST00000268058.8_PML-201	1.16402118534691e-05	-4.6746023783438
ENST00000587297.1_GLYR1-205	0.000170684232838757	-3.99166001923505
ENST00000565123.5_OSGIN1-206	0.000369666385027196	-3.56129465963086
ENST00000562957.1_RHOT2-208	0.00385040905714773	-2.74529809846898
ENST00000269361.11_CSNK1D-201	0.00458934401304067	-2.56828364584004
ENST00000491287.1_PSMA5-205	2.5212295407317e-21	-1.71691705620527
ENST00000452476.5_LYAR-202	1.021068602348e-05	-4.83694271353334
ENST00000450046.2_EGFR-205	0.00420450255695589	-2.8400102318812
ENST00000522800.5_EIF3H-211	4.32530977505391e-05	-4.25482996783556
ENST00000525314.6_ARFGAP2-206	0.00351969839810058	-2.46065218539118
ENST00000532234.5_PRSS23-206	0.0026201164898482	-1.91530103523518
ENST00000510052.5_ATPSCKMT-206	0.00484816718512381	-2.16496668692317
ENST00000281419.8_ASAP2-201	4.5202650792981e-05	-1.66127683817352
ENST00000544599.5_TMBIM4-209	0.00269266164708551	-1.79732250293376
ENST00000320307.8_TAGLN2-201	0.00151738829412599	-3.12064102543432
ENST00000398085.7_PDXK-206	7.87699550581866e-05	-4.28192749212978
ENST00000547665.5_MARS1-209	1.64075874150126e-05	-2.42111787020502
ENST00000548176.1_IGFBP6-202	1.09680961654155e-07	-4.87317148135822
ENST00000532244.5_NDUFV1-221	0.00367855826909015	-2.55030261942344
ENST00000477592.2_PXDC1-203	0.000857053397002906	-4.52079219824201
ENST00000304567.10_RRM2-201	0.00356110818516277	-2.30922632611873
ENST00000378700.8_ID4-201	0.000583914659941847	-2.06350620612035
ENST00000483064.1_SNCG-204	0.00309626480037877	-1.94676591720403
ENST00000308375.10_GMPPB-201	0.00131322987584956	-3.37252397237199
ENST00000444213.5_P4HTM-203	0.00357961916290017	-2.32284122032093
ENST00000526683.6_PUF60-208	2.9768159706866e-06	-3.75339527040005
ENST00000328268.9_CRELD2-201	0.000635282915736564	-1.67815695550788
ENST00000424224.5_OSBP2-205	1.49605009732105e-05	-4.10224818477909
ENST00000702134.1_MIR22HG-232	0.00287849343764392	-3.2803252152443
ENST00000621582.1_SRGAP2B-206	0.00292080160412774	-2.80900166992256
ENST00000392920.8_EVL-201	0.00410454296847831	-3.10446087975906
ENST00000372731.8_SPTAN1-202	0.000524886658114209	-2.69976888470937
ENST00000423617.2_NBDY-202	9.6712319109558e-08	-5.13348099125391
ENST00000384919.1_MIR621-201	7.17975765275146e-07	-5.36438723482397
ENST00000533920.1_MIR210HG-203	2.8168713990717e-06	-3.05928346634473
ENST00000543979.1_ENST00000543979	0.00424713488657039	-2.73543520757274
ENST00000654187.2_PSMA3-AS1-215	0.00109883778514159	-3.5833387043356
ENST00000550231.1_ENST00000550231	0.00269266164708551	-3.18984347788653
ENST00000315491.12_TUBB3-201	0.00287849343764392	-2.12265932655303
ENST00000578482.1_ENST00000578482	0.00191748122185326	-2.62578130000334
ENST00000652078.1_ENST00000652078	0.00324022383376532	-2.30261359482091
ENST00000685210.1_ENST00000685210	1.48129175407218e-20	-1.75246572608239
ENST00000571542.5_TRIM16L-206	0.000566551646844281	-3.9513937060552
